Date,TAVG (orig),TAVG(Calc F),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches),location
7/4/1997,,61.00,66.00,56.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/5/1997,,67.00,79.00,55.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/6/1997,,73.00,83.00,63.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/7/1997,,68.00,76.00,60.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/8/1997,,72.00,85.00,59.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/9/1997,,63.50,70.00,57.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/10/1997,,66.50,79.00,54.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/11/1997,,72.50,84.00,61.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/12/1997,,77.00,88.00,66.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/13/1997,,85.50,96.00,75.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/14/1997,,83.50,93.00,74.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/15/1997,,79.50,91.00,68.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/16/1997,,84.00,96.00,72.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/17/1997,,85.50,94.00,77.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/18/1997,,80.00,90.00,70.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/19/1997,,75.00,82.00,68.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/20/1997,,79.50,89.00,70.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/21/1997,,73.50,80.00,67.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/22/1997,,71.50,75.00,68.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/23/1997,,69.50,73.00,66.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/24/1997,,73.50,83.00,64.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/25/1997,,78.50,87.00,70.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/26/1997,,86.50,99.00,74.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/27/1997,,86.50,97.00,76.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/28/1997,,76.00,83.00,69.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/29/1997,,69.00,74.00,64.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/30/1997,,69.50,78.00,61.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
7/31/1997,,71.50,83.00,60.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/1/1997,,76.50,87.00,66.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/2/1997,,83.00,93.00,73.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/3/1997,,80.50,91.00,70.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/4/1997,,72.50,80.00,65.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/5/1997,,66.00,73.00,59.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/6/1997,,67.00,77.00,57.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/7/1997,,70.50,81.00,60.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/8/1997,,73.00,83.00,63.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/9/1997,,73.00,78.00,68.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/10/1997,,76.00,83.00,69.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/11/1997,,67.50,71.00,64.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/12/1997,,69.50,76.00,63.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/13/1997,,69.00,75.00,63.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/14/1997,,68.50,76.00,61.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/15/1997,,77.50,84.00,71.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/16/1997,,78.50,91.00,66.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/17/1997,,70.50,77.00,64.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/18/1997,,64.50,69.00,60.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/19/1997,,64.50,71.00,58.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/20/1997,,67.50,73.00,62.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/21/1997,,64.50,72.00,57.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/22/1997,,64.50,74.00,55.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/23/1997,,66.00,76.00,56.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/24/1997,,70.50,78.00,63.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/25/1997,,68.00,73.00,63.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/26/1997,,71.00,81.00,61.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/27/1997,,78.50,86.00,71.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/28/1997,,70.00,75.00,65.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/29/1997,,68.00,76.00,60.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/30/1997,,68.50,74.00,63.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
8/31/1997,,73.50,80.00,67.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/1/1997,,74.00,85.00,63.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/2/1997,,69.50,77.00,62.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/3/1997,,59.50,67.00,52.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/4/1997,,59.00,69.00,49.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/5/1997,,66.00,80.00,52.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/6/1997,,74.50,87.00,62.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/7/1997,,69.00,74.00,64.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/8/1997,,68.00,72.00,64.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/9/1997,,69.00,74.00,64.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/10/1997,,65.00,71.00,59.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/11/1997,,64.00,73.00,55.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/12/1997,,64.00,75.00,53.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/13/1997,,66.50,77.00,56.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/14/1997,,72.50,80.00,65.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/15/1997,,72.50,83.00,62.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/16/1997,,76.50,85.00,68.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/17/1997,,73.00,82.00,64.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/18/1997,,72.00,84.00,60.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/19/1997,,74.00,84.00,64.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/20/1997,,62.50,69.00,56.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/21/1997,,59.00,65.00,53.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/22/1997,,58.00,64.00,52.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/23/1997,,59.50,65.00,54.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/24/1997,,59.50,69.00,50.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/25/1997,,66.00,79.00,53.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/26/1997,,62.00,68.00,56.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/27/1997,,0.00,,,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/28/1997,,0.00,,,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/29/1997,,65.50,77.00,54.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
9/30/1997,,0.00,,,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/1/1997,,53.50,59.00,48.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/2/1997,,62.50,79.00,46.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/3/1997,,73.50,87.00,60.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/4/1997,,68.50,76.00,61.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/5/1997,,73.50,88.00,59.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/6/1997,,74.00,85.00,63.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/7/1997,,75.00,85.00,65.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/8/1997,,75.50,84.00,67.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/9/1997,,63.50,75.00,52.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/10/1997,,58.00,68.00,48.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/11/1997,,62.50,76.00,49.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/12/1997,,72.50,82.00,63.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/13/1997,,60.00,74.00,46.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/14/1997,,43.00,48.00,38.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/15/1997,,44.50,54.00,35.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/16/1997,,49.00,54.00,44.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/17/1997,,46.00,53.00,39.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/18/1997,,47.50,57.00,38.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/19/1997,,52.00,65.00,39.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/20/1997,,46.50,53.00,40.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/21/1997,,43.50,49.00,38.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/22/1997,,38.50,44.00,33.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/23/1997,,46.00,54.00,38.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/24/1997,,46.00,50.00,42.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/25/1997,,48.50,51.00,46.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/26/1997,,40.00,46.00,34.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/27/1997,,34.00,39.00,29.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/28/1997,,40.00,52.00,28.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/29/1997,,46.50,58.00,35.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/30/1997,,53.00,62.00,44.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
10/31/1997,,59.00,65.00,53.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/1/1997,,50.00,57.00,43.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/2/1997,,38.50,44.00,33.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/3/1997,,35.50,39.00,32.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/4/1997,,38.00,39.00,37.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/5/1997,,42.00,48.00,36.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/6/1997,,45.00,47.00,43.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/7/1997,,43.50,47.00,40.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/8/1997,,43.50,47.00,40.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/9/1997,,43.00,45.00,41.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/10/1997,,36.50,42.00,31.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/11/1997,,29.50,33.00,26.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/12/1997,,27.00,34.00,20.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/13/1997,,32.50,37.00,28.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/14/1997,,36.00,38.00,34.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/15/1997,,30.00,35.00,25.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/16/1997,,23.00,28.00,18.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/17/1997,,26.50,35.00,18.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/18/1997,,33.00,40.00,26.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/19/1997,,28.50,35.00,22.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/20/1997,,36.50,46.00,27.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/21/1997,,39.50,42.00,37.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/22/1997,,36.50,46.00,27.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/23/1997,,27.00,32.00,22.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/24/1997,,26.50,37.00,16.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/25/1997,,47.00,57.00,37.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/26/1997,,43.00,52.00,34.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/27/1997,,39.50,49.00,30.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/28/1997,,50.00,56.00,44.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/29/1997,,47.50,51.00,44.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
11/30/1997,,42.50,47.00,38.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/1/1997,,39.00,41.00,37.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/2/1997,,38.00,40.00,36.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/3/1997,,36.50,38.00,35.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/4/1997,,31.50,35.00,28.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/5/1997,,26.00,30.00,22.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/6/1997,,28.50,32.00,25.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/7/1997,,29.00,31.00,27.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/8/1997,,28.50,31.00,26.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/9/1997,,32.50,35.00,30.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/10/1997,,34.00,36.00,32.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/11/1997,,34.00,36.00,32.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/12/1997,,28.00,32.00,24.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/13/1997,,28.50,35.00,22.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/14/1997,,31.00,41.00,21.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/15/1997,,37.50,47.00,28.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/16/1997,,39.00,46.00,32.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/17/1997,,37.50,48.00,27.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/18/1997,,39.50,46.00,33.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/19/1997,,41.00,51.00,31.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/20/1997,,34.50,38.00,31.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/21/1997,,33.50,37.00,30.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/22/1997,,34.50,37.00,32.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/23/1997,,35.50,39.00,32.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/24/1997,,33.50,35.00,32.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/25/1997,,31.00,36.00,26.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/26/1997,,29.00,33.00,25.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/27/1997,,25.00,31.00,19.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/28/1997,,26.50,34.00,19.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/29/1997,,29.50,33.00,26.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/30/1997,,23.00,28.00,18.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
12/31/1997,,18.50,24.00,13.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
1/1/1998,,29.00,43.00,15.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
1/2/1998,,43.50,50.00,37.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
1/3/1998,,47.00,57.00,37.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
1/4/1998,,45.50,56.00,35.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
1/5/1998,,48.50,56.00,41.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
1/6/1998,,43.00,47.00,39.00,,,,"CHICAGO MIDWAY AIRPORT, IL US (USW00014819)"
